,Id,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Neighborhood,OverallQual,OverallCond,YearRemodAdd,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseStyleint
56,57,1,24.0,2645,1,3,3,4,21,8,5,2000,8,2009,8,0,172500.0,2.0
57,58,3,89.0,11645,1,0,3,0,5,7,5,2004,8,2006,8,4,196500.0,2.0
58,59,3,66.0,13682,1,1,1,1,22,10,5,2006,10,2006,6,5,438780.0,2.0
59,60,3,60.0,7200,1,3,0,4,5,5,7,1972,1,2008,8,4,124900.0,1.0
60,61,3,63.0,13072,1,3,3,4,20,6,5,2004,5,2006,6,5,158000.0,1.0
61,62,4,60.0,7200,1,3,3,4,9,5,7,1996,3,2007,8,4,101000.0,2.5
62,63,3,44.0,6442,1,0,3,4,16,8,5,2006,10,2007,8,4,202500.0,1.0
63,64,4,50.0,10300,1,0,0,4,17,7,6,1950,4,2010,8,4,140000.0,2.0
64,65,3,69.25566076574722,9375,1,3,3,4,5,7,5,1998,2,2009,8,4,219500.0,2.0
65,66,3,76.0,9591,1,3,3,4,16,8,5,2005,10,2007,8,4,317000.0,2.0
66,67,3,69.25566076574722,19900,1,3,3,4,12,7,5,1989,7,2010,8,4,180000.0,1.0
67,68,3,72.0,10665,1,0,3,4,5,7,5,2003,6,2007,8,4,226000.0,1.0
68,69,4,47.0,4608,1,3,3,0,17,4,6,1950,6,2010,8,4,80000.0,1.0
69,70,3,81.0,15593,1,3,3,0,4,7,4,1953,7,2006,8,4,225000.0,1.75
70,71,3,95.0,13651,1,0,3,4,12,7,6,1973,2,2007,8,4,244000.0,1.0
71,72,3,69.0,7599,1,3,3,0,11,4,6,2006,6,2007,8,4,129500.0,1.0
72,73,3,74.0,10141,1,0,3,0,8,7,5,1998,12,2009,8,4,185000.0,2.0
73,74,3,85.0,10200,1,3,3,4,12,5,7,2003,5,2010,8,4,144900.0,1.0
74,75,4,60.0,5790,1,3,3,0,17,3,6,1950,5,2010,8,4,107400.0,2.0
75,76,4,21.0,1596,1,3,3,4,10,4,5,1973,11,2009,8,4,91000.0,1.5
76,77,3,69.25566076574722,8475,1,0,3,4,12,4,7,1956,4,2008,8,4,135750.0,1.0
77,78,4,50.0,8635,1,3,3,4,3,5,5,2001,1,2008,8,4,127000.0,1.75
78,79,3,72.0,10778,1,3,3,4,19,4,5,1968,4,2010,8,4,136500.0,1.0
79,80,4,60.0,10440,1,3,3,0,17,5,6,1981,5,2009,8,4,110000.0,2.0
80,81,3,100.0,13000,1,3,3,0,12,6,6,1968,6,2009,8,4,193500.0,2.0
81,82,4,32.0,4500,1,3,3,2,11,6,5,1998,3,2006,8,4,153500.0,1.0
82,83,3,78.0,10206,1,3,3,4,21,8,5,2007,10,2008,8,4,245000.0,1.0
83,84,3,80.0,8892,1,0,3,4,12,5,5,1960,7,2007,0,4,126500.0,1.0
84,85,3,69.25566076574722,8530,1,0,3,4,8,7,5,1996,5,2009,8,4,168500.0,1.5
85,86,3,121.0,16059,1,3,3,0,15,8,5,1992,4,2006,8,4,260000.0,2.0
86,87,3,122.0,11911,1,1,3,4,8,6,5,2005,3,2009,8,4,174000.0,2.0
87,88,1,40.0,3951,1,3,3,0,21,6,5,2009,6,2009,6,5,164500.0,2.0
88,89,0,105.0,8470,1,0,3,0,9,3,2,1982,10,2009,3,0,85000.0,1.75
89,90,3,60.0,8070,1,3,3,4,5,4,5,1995,8,2007,8,4,123600.0,1.0
90,91,3,60.0,7200,1,3,3,4,12,4,5,1950,7,2006,8,4,109900.0,1.0
91,92,3,85.0,8500,1,3,3,4,12,5,3,1961,12,2006,8,0,98600.0,1.0
92,93,3,80.0,13360,1,0,1,4,6,5,7,2006,8,2009,8,4,163500.0,1.0
93,94,0,60.0,7200,1,3,3,0,17,6,6,1998,11,2007,8,4,133900.0,2.5
94,95,3,69.0,9337,1,0,3,4,5,6,5,1997,5,2007,8,4,204750.0,2.0
95,96,3,69.25566076574722,9765,1,1,3,0,8,6,8,1993,4,2009,8,4,185000.0,2.0
96,97,3,78.0,10264,1,0,3,4,5,7,5,1999,8,2006,8,4,214000.0,1.0
97,98,3,73.0,10921,1,3,1,4,7,4,5,1965,5,2007,8,4,94750.0,1.0
98,99,3,85.0,10625,1,3,3,0,7,5,5,1950,5,2010,0,0,83000.0,1.0
99,100,3,77.0,9320,1,0,3,4,12,4,5,1959,1,2010,8,4,128950.0,1.0
100,101,3,69.25566076574722,10603,1,0,3,4,14,6,7,2001,2,2010,8,4,205000.0,1.0
101,102,3,77.0,9206,1,3,3,4,20,6,5,1985,6,2010,8,4,178000.0,2.0
102,103,3,64.0,7018,1,3,0,4,20,5,5,1979,6,2009,8,2,118964.0,1.0
103,104,3,94.0,10402,1,0,3,0,5,7,5,2009,5,2010,8,4,198900.0,1.0
104,105,4,69.25566076574722,7758,1,3,3,0,9,7,4,1950,6,2007,8,4,169500.0,1.75
105,106,1,75.0,9375,1,3,3,4,21,8,5,2004,8,2008,8,4,250000.0,2.0
106,107,4,60.0,10800,1,3,3,4,17,4,7,1995,8,2007,8,4,100000.0,1.0
107,108,4,50.0,6000,1,3,3,4,17,5,5,1950,4,2008,8,5,115000.0,1.0
108,109,4,85.0,8500,1,3,3,0,9,5,7,2005,8,2007,8,4,115000.0,1.75
109,110,3,105.0,11751,1,0,3,4,14,6,6,1977,1,2010,0,4,190000.0,1.0
110,111,3,75.0,9525,1,3,3,4,7,6,4,1972,10,2006,8,4,136900.0,1.75
111,112,3,69.25566076574722,7750,1,0,3,4,8,7,5,2000,4,2010,8,4,180000.0,1.5
112,113,3,77.0,9965,1,3,3,4,5,7,5,2007,10,2007,6,5,383970.0,2.0
113,114,3,69.25566076574722,21000,1,3,0,0,6,6,5,1953,10,2007,0,0,217000.0,1.0
114,115,3,61.0,7259,1,0,3,4,6,6,8,2002,7,2007,8,4,259500.0,2.0
115,116,1,34.0,3230,1,3,3,0,21,6,5,1999,6,2007,8,4,176000.0,2.0
116,117,3,69.25566076574722,11616,1,3,3,4,19,5,5,1962,9,2009,8,4,139000.0,1.0
117,118,3,74.0,8536,1,3,3,0,7,5,5,2007,4,2007,6,5,155000.0,1.0
118,119,3,90.0,12376,1,3,3,0,20,7,5,1990,5,2010,8,4,320000.0,2.0
119,120,3,65.0,8461,1,3,3,4,5,6,5,2006,7,2006,6,5,163990.0,2.0
120,121,3,69.25566076574722,21453,1,0,2,1,4,6,5,1969,10,2006,8,4,180000.0,1.5
121,122,4,50.0,6060,1,3,3,4,9,4,5,1950,6,2007,8,4,100000.0,1.75
122,123,3,75.0,9464,1,3,3,0,12,6,7,1958,6,2008,8,4,136000.0,1.0
123,124,3,55.0,7892,1,3,3,4,20,6,5,1993,3,2008,8,4,153900.0,1.0
124,125,3,48.0,17043,1,0,3,1,14,6,5,1998,1,2009,8,4,181000.0,1.0
125,126,4,60.0,6780,1,3,3,4,9,6,8,1982,6,2006,8,4,84500.0,1.75
126,127,3,69.25566076574722,4928,1,0,3,4,13,6,5,1976,2,2007,8,4,128000.0,1.0
127,128,4,55.0,4388,1,0,0,4,17,5,7,1950,6,2007,8,4,87000.0,1.5
128,129,3,69.0,7590,1,3,3,4,12,6,5,1966,7,2006,8,4,155000.0,2.0
129,130,3,69.0,8973,1,3,3,4,12,5,7,1991,7,2006,8,0,150000.0,1.0
130,131,3,88.0,14200,1,3,3,0,12,7,6,1966,5,2006,8,4,226000.0,2.0
131,132,3,69.25566076574722,12224,1,0,3,0,8,6,5,2000,7,2009,8,4,244000.0,2.0
132,133,3,75.0,7388,1,3,3,0,12,5,6,2002,7,2007,8,4,150750.0,1.0
133,134,3,69.25566076574722,6853,1,0,3,4,23,8,5,2002,6,2009,8,4,220000.0,1.0
134,135,3,78.0,10335,1,0,3,4,19,5,6,1993,7,2006,8,4,180000.0,1.0
135,136,3,80.0,10400,1,3,3,4,14,7,6,1970,5,2008,8,4,174000.0,1.0
136,137,3,69.25566076574722,10355,1,0,3,0,12,5,5,1967,7,2007,8,4,143000.0,1.0
137,138,3,82.0,11070,1,3,3,4,11,7,5,1989,7,2006,8,3,171000.0,1.0
138,139,3,73.0,9066,1,0,3,4,5,8,5,2000,12,2008,8,4,230000.0,2.0
139,140,3,65.0,15426,1,0,3,4,5,6,5,1997,8,2009,8,4,231500.0,2.0
140,141,3,70.0,10500,1,3,3,2,12,4,5,1971,4,2010,4,4,115000.0,1.0
141,142,3,78.0,11645,1,3,3,4,5,7,5,2005,1,2006,8,4,260000.0,1.0
142,143,3,71.0,8520,1,3,3,0,12,5,4,1952,6,2010,8,4,166000.0,1.75
143,144,3,78.0,10335,1,0,3,4,5,7,5,1999,6,2009,8,4,204000.0,1.0
144,145,4,70.0,9100,1,3,3,4,19,5,5,1963,11,2006,4,0,125000.0,1.0
145,146,4,24.0,2522,1,3,3,4,7,6,5,2006,4,2006,8,4,130000.0,2.0
146,147,4,51.0,6120,1,3,3,0,3,5,7,1993,11,2009,8,4,105000.0,1.0
147,148,3,69.25566076574722,9505,1,0,3,1,8,7,5,2001,5,2010,8,4,222500.0,2.0
148,149,3,63.0,7500,1,3,3,4,20,7,5,2005,4,2008,8,4,141000.0,1.0
149,150,4,69.25566076574722,6240,1,3,3,4,3,5,4,1950,4,2006,8,4,115000.0,1.75
150,151,3,120.0,10356,1,3,3,0,5,5,6,1975,1,2007,8,4,122000.0,1.0
151,152,3,107.0,13891,1,3,3,4,16,8,5,2008,1,2008,6,5,372402.0,1.0
152,153,3,69.25566076574722,14803,1,0,3,1,14,6,5,1971,6,2006,8,4,190000.0,2.0
153,154,3,69.25566076574722,13500,1,3,3,4,4,6,7,1975,3,2008,8,4,235000.0,1.0
154,155,4,84.0,11340,1,3,3,0,17,6,5,1950,3,2006,8,3,125000.0,1.0
155,156,3,60.0,9600,1,3,3,0,7,6,5,1950,4,2008,8,4,79000.0,1.75
156,157,3,60.0,7200,1,3,3,4,12,5,7,1950,6,2006,8,4,109500.0,1.0
157,158,3,92.0,12003,1,3,3,0,23,8,5,2010,5,2010,6,5,269500.0,2.0
158,159,1,100.0,12552,1,3,3,0,21,7,5,2005,5,2010,8,4,254900.0,2.0
159,160,3,134.0,19378,1,0,1,0,8,7,5,2006,3,2006,6,5,320000.0,2.0
160,161,3,69.25566076574722,11120,1,0,3,1,24,6,6,1984,6,2008,8,4,162500.0,1.0
161,162,3,110.0,13688,1,0,3,4,16,9,5,2004,3,2008,8,4,412500.0,2.0
162,163,3,95.0,12182,1,3,3,0,16,7,5,2005,5,2010,6,5,220000.0,1.0
163,164,3,55.0,5500,1,3,3,4,17,4,6,1956,4,2007,8,4,103200.0,1.5
164,165,4,40.0,5400,1,3,3,0,17,6,7,2004,10,2007,8,4,152000.0,1.0
165,166,3,62.0,10106,1,3,3,4,7,5,7,1999,9,2008,8,4,127500.0,1.75
166,167,3,69.25566076574722,10708,1,0,3,4,4,5,5,1993,11,2009,0,4,190000.0,1.0
167,168,3,86.0,10562,1,3,3,4,16,8,5,2007,11,2007,6,5,325624.0,2.0
168,169,3,62.0,8244,1,0,3,4,8,7,5,2004,5,2007,8,4,183500.0,2.0
169,170,3,69.25566076574722,16669,1,0,3,0,23,8,6,1981,1,2006,8,4,228000.0,1.0
170,171,4,69.25566076574722,12358,1,0,3,4,17,5,6,1950,5,2007,8,4,128500.0,1.75
171,172,3,141.0,31770,1,0,3,0,12,6,5,1960,5,2010,8,4,215000.0,1.0
172,173,3,44.0,5306,1,0,3,4,22,7,7,1987,6,2006,8,4,239000.0,2.0
173,174,3,80.0,10197,1,0,3,4,12,6,5,1961,6,2008,0,4,163000.0,1.0
174,175,3,47.0,12416,1,0,3,4,23,6,5,1986,11,2008,8,4,184000.0,1.0
175,176,3,84.0,12615,1,3,3,0,7,6,7,2001,6,2007,8,4,243000.0,1.0
176,177,3,97.0,10029,1,0,3,0,4,6,5,1989,9,2007,8,4,211000.0,2.0
177,178,3,69.25566076574722,13650,1,3,3,4,19,5,5,1958,7,2006,8,4,172500.0,1.75
178,179,3,63.0,17423,1,0,3,1,22,9,5,2009,7,2009,6,5,501837.0,1.0
179,180,4,60.0,8520,1,3,3,4,17,5,6,2006,7,2007,8,4,100000.0,1.0
180,181,1,69.25566076574722,2117,1,3,3,4,21,6,5,2000,6,2007,8,4,177000.0,2.0
181,182,3,54.0,7588,1,3,3,4,6,7,6,1950,7,2006,8,4,200100.0,2.0
182,183,3,60.0,9060,1,3,3,4,7,5,6,2006,6,2007,8,4,120000.0,1.0
183,184,4,63.0,11426,1,3,3,4,17,7,5,2003,6,2008,8,4,200000.0,1.75
184,185,3,92.0,7438,1,0,3,4,3,5,8,1991,6,2006,8,4,127000.0,1.75
185,186,4,90.0,22950,1,1,3,4,17,10,9,1993,6,2006,8,4,475000.0,2.75
186,187,3,69.25566076574722,9947,1,0,3,1,11,7,5,1991,6,2009,8,4,173000.0,1.5
187,188,3,60.0,10410,1,3,3,4,17,5,7,1987,8,2009,8,4,135000.0,1.75
188,189,3,64.0,7018,1,3,0,4,20,5,5,1979,6,2009,8,2,153337.0,1.5
189,190,3,41.0,4923,1,3,3,4,22,8,5,2002,8,2008,8,4,286000.0,1.0
190,191,3,70.0,10570,1,3,0,4,6,8,8,1994,12,2007,8,4,315000.0,2.0
191,192,3,69.25566076574722,7472,1,0,3,1,12,7,9,2004,6,2007,8,4,184000.0,2.0
192,193,3,68.0,9017,1,0,3,4,5,7,5,1999,9,2009,8,4,192000.0,1.0
193,194,4,24.0,2522,1,3,3,4,7,7,5,2004,5,2006,8,4,130000.0,2.0
194,195,3,60.0,7180,1,0,3,4,5,5,7,1972,5,2008,8,4,127000.0,1.0
195,196,3,24.0,2280,1,3,3,2,13,6,6,1976,7,2009,8,4,148500.0,2.0
196,197,3,79.0,9416,1,3,3,4,21,7,5,2007,9,2007,6,5,311872.0,1.0
197,198,3,174.0,25419,1,3,3,0,12,8,4,1990,3,2006,8,0,235000.0,2.0
198,199,4,92.0,5520,1,3,3,0,17,6,6,1950,7,2009,8,0,104000.0,2.75
199,200,3,76.0,9591,1,3,3,4,16,8,5,2005,1,2009,8,4,274900.0,1.0
200,201,4,80.0,8546,1,3,3,0,7,4,5,2004,3,2010,8,4,140000.0,1.0
201,202,3,75.0,10125,1,3,3,4,11,6,6,1977,2,2008,8,4,171500.0,1.0
202,203,3,50.0,7000,1,3,3,0,17,6,6,1950,5,2006,0,4,112000.0,1.75
203,204,4,69.25566076574722,4438,1,3,3,4,5,6,5,2004,1,2008,8,4,149000.0,1.0
204,205,4,50.0,3500,1,3,3,4,17,5,7,1950,4,2009,8,4,110000.0,1.75
205,206,3,99.0,11851,1,3,3,0,8,7,5,1990,5,2009,8,4,180500.0,1.0
206,207,3,40.0,13673,1,0,3,1,19,5,5,1962,3,2007,8,4,143900.0,1.0
207,208,3,69.25566076574722,12493,1,0,3,4,12,4,5,1960,4,2008,8,4,141000.0,1.0
208,209,3,69.25566076574722,14364,1,0,2,4,20,7,5,1989,4,2007,8,4,277000.0,2.0
209,210,3,75.0,8250,1,3,3,4,12,6,7,1964,7,2008,8,4,145000.0,1.0
210,211,3,67.0,5604,1,3,3,4,7,5,6,1950,4,2008,8,4,98000.0,1.0
211,212,3,83.0,10420,1,3,3,0,7,6,5,2009,3,2010,8,4,186000.0,1.0
212,213,1,72.0,8640,1,3,3,4,21,7,5,2009,7,2009,6,5,252678.0,2.0
213,214,3,43.0,13568,1,1,3,1,5,5,5,1995,7,2006,8,4,156000.0,1.0
214,215,3,69.25566076574722,10900,1,0,3,2,5,6,7,1977,3,2010,8,4,161750.0,2.0
215,216,3,72.0,10011,1,0,3,4,12,5,6,1996,5,2006,8,4,134450.0,1.0
216,217,3,65.0,8450,1,3,3,4,5,7,5,2004,4,2008,8,4,210000.0,1.0
217,218,4,57.0,9906,1,3,3,4,17,4,4,1950,9,2006,8,3,107000.0,2.0
218,219,3,69.25566076574722,15660,1,0,3,0,6,7,9,2006,5,2008,8,4,311500.0,1.75
219,220,3,43.0,3010,1,3,3,4,0,7,5,2006,3,2006,6,5,167240.0,1.0
220,221,3,73.0,8990,1,0,3,4,5,7,5,2006,4,2006,6,5,204900.0,1.0
221,222,3,69.25566076574722,8068,1,0,3,4,8,6,5,2002,12,2009,4,4,200000.0,2.0
222,223,3,85.0,11475,1,3,3,4,14,6,6,1975,2,2006,8,4,179900.0,2.0
223,224,3,70.0,10500,1,3,3,2,12,4,6,1971,3,2009,8,0,97000.0,1.0
224,225,3,103.0,13472,1,3,3,4,16,10,5,2003,6,2009,8,4,386250.0,1.0
225,226,4,21.0,1680,1,3,3,4,2,5,5,1971,5,2009,0,0,112000.0,2.0
226,227,3,82.0,9950,1,0,3,4,15,7,5,1995,6,2007,8,0,290000.0,2.0
227,228,4,21.0,1869,1,3,3,4,2,6,6,1970,9,2008,8,4,106000.0,2.0
228,229,3,70.0,8521,1,3,3,2,19,5,5,1967,5,2010,8,4,125000.0,1.0
229,230,3,43.0,3182,1,3,3,4,0,7,5,2006,5,2009,8,4,192500.0,1.0
230,231,3,73.0,8760,1,3,3,4,12,6,6,1959,4,2010,8,4,148000.0,1.0
231,232,3,174.0,15138,1,0,3,4,15,8,5,1996,7,2009,8,4,403000.0,2.0
232,233,4,21.0,1680,1,3,3,4,2,6,5,1972,6,2006,8,4,94500.0,2.0
233,234,3,75.0,10650,1,3,3,0,5,5,6,1976,2,2010,8,4,128200.0,1.0
234,235,3,69.25566076574722,7851,1,3,3,4,8,6,5,2002,5,2010,8,4,216500.0,2.0
235,236,4,21.0,1680,1,3,3,4,2,6,3,1971,8,2008,8,4,89500.0,2.0
236,237,3,65.0,8773,1,3,3,2,5,7,5,2004,5,2010,8,4,185500.0,1.0
237,238,3,69.25566076574722,9453,1,0,3,1,20,7,7,2003,2,2010,8,4,194500.0,2.0
238,239,3,93.0,12030,1,3,3,4,16,8,5,2007,12,2007,6,5,318000.0,1.0
239,240,3,52.0,8741,1,3,3,4,7,6,4,1950,4,2010,8,4,113000.0,1.75
240,241,1,75.0,9000,1,3,3,4,21,8,5,2008,4,2010,8,4,262500.0,1.0
241,242,4,40.0,3880,1,3,3,4,17,5,9,1997,8,2007,8,4,110500.0,1.0
242,243,4,63.0,5000,1,3,3,0,17,5,4,1950,4,2006,8,4,79000.0,1.75
243,244,3,75.0,10762,1,3,3,0,20,6,6,1980,4,2009,8,4,120000.0,2.0
244,245,3,69.25566076574722,8880,1,0,3,4,20,7,5,2002,5,2010,8,4,205000.0,2.0
245,246,3,80.0,10400,1,3,3,4,14,7,5,1988,6,2006,8,4,241500.0,1.0
246,247,4,69.0,9142,1,3,3,4,17,6,8,1950,4,2006,8,4,137000.0,2.0
247,248,3,75.0,11310,1,3,3,4,12,6,5,1954,6,2006,8,4,140000.0,1.0
248,249,3,72.0,11317,1,3,3,4,5,7,5,2003,9,2007,8,4,180000.0,2.0
249,250,3,69.25566076574722,159000,1,1,2,1,4,6,7,2006,6,2007,8,4,277000.0,1.75
250,251,3,55.0,5350,1,0,3,4,3,3,2,1966,5,2010,8,4,76500.0,1.0
251,252,4,44.0,4750,1,0,1,4,6,8,5,2007,12,2007,8,3,235000.0,1.0
252,253,3,65.0,8366,1,0,3,4,20,6,5,2004,12,2008,8,4,173000.0,2.0
253,254,3,85.0,9350,1,3,3,4,12,6,7,1991,10,2007,1,4,158000.0,1.5
254,255,3,70.0,8400,1,3,3,4,12,5,6,1957,6,2010,8,4,145000.0,1.0
255,256,3,66.0,8738,1,0,3,4,8,7,5,1999,2,2006,8,4,230000.0,2.0
256,257,1,64.0,8791,1,0,3,4,21,6,5,2003,5,2008,8,4,207500.0,2.0
257,258,3,68.0,8814,1,3,3,4,5,7,5,2006,3,2009,8,0,220000.0,1.0
258,259,3,80.0,12435,1,3,3,4,5,7,5,2001,5,2008,8,4,231500.0,2.0
259,260,4,70.0,12702,1,3,3,4,17,5,5,1956,12,2008,8,4,97000.0,1.0
260,261,3,120.0,19296,1,3,3,0,12,6,5,1962,5,2009,8,4,176000.0,1.5
261,262,3,69.0,9588,1,0,3,4,5,8,5,2007,11,2007,6,5,276000.0,2.0
262,263,3,88.0,8471,1,0,3,0,19,6,7,1995,7,2006,8,4,151000.0,1.5
263,264,4,50.0,5500,1,3,3,0,17,5,7,2001,4,2010,8,4,130000.0,1.75
264,265,4,30.0,5232,1,2,0,4,17,5,5,2004,6,2008,8,4,73000.0,1.0
265,266,3,78.0,12090,1,0,3,4,14,6,6,1981,6,2008,8,4,175500.0,1.0
266,267,3,70.0,11207,1,0,1,2,8,6,5,1997,6,2006,8,4,185000.0,2.0
267,268,3,60.0,8400,1,3,0,4,18,5,8,1997,7,2008,8,4,179500.0,2.75
268,269,4,71.0,6900,1,3,3,4,9,5,6,1955,2,2008,8,4,120500.0,1.0
269,270,3,69.25566076574722,7917,1,0,3,0,7,6,7,1976,5,2007,8,4,148000.0,1.0
270,271,1,84.0,10728,1,3,3,4,21,8,5,2006,8,2006,6,5,266000.0,2.0
271,272,3,73.0,39104,1,0,2,1,4,7,7,2005,4,2008,8,4,241500.0,1.0
272,273,3,92.0,11764,1,0,3,1,15,8,7,2007,4,2010,8,4,290000.0,2.0
273,274,3,80.0,9600,1,3,3,4,12,6,6,1988,4,2009,8,4,139000.0,1.0
274,275,3,76.0,8314,1,3,3,0,11,5,7,1982,6,2007,8,4,124500.0,1.0
275,276,3,55.0,7264,1,3,3,4,3,7,7,2007,10,2009,8,4,205000.0,1.75
276,277,3,129.0,9196,1,0,3,4,11,7,5,2003,4,2010,8,4,201000.0,1.0
277,278,3,140.0,19138,1,3,3,0,8,4,5,1951,6,2010,8,4,141000.0,1.0
278,279,3,107.0,14450,1,3,3,4,16,9,5,2007,5,2007,6,5,415298.0,1.0
279,280,3,83.0,10005,1,3,3,4,4,7,5,1977,3,2008,8,4,192000.0,2.0
280,281,3,82.0,11287,1,3,3,4,20,7,6,1989,1,2007,8,4,228500.0,2.0
281,282,1,60.0,7200,1,3,3,4,21,6,5,2006,5,2006,6,5,185000.0,1.0
282,283,3,34.0,5063,1,3,3,4,16,7,5,2008,4,2009,5,4,207500.0,1.0
